index,title,genres,story_line,cast,director
3131,Rock the Shaadi,"Comedy, Horror",,"Genelia D'Souza,Abhay Deol,Kushal Punjabi,Hemang Vyas",Navdeep Singh
3132,DOA: Death of Amar,Thriller,A struggling actor is poisoned and has few hours to live. He must find out who killed him and why?,"Steven a Dsouza,Zareen Khan,Rajeev Khandelwal,Prashant Narayanan",Param Gill
3133,Dekh Tamasha Dekh,Comedy,"A social and political satire about a true incident,it revolves around the search for the religious identity of a poor man crushed under the weight of a politician's hoarding. The film explores an Impossible India where bizarre is normal.","Satish Kaushik,Tanvi Azmi,Vinay Jain,Sharad Ponkshe",Feroz Abbas Khan
3134,Flame: An Untold Love Story,Drama,"Flame - An Untold Love Story, portrays a tribal woman who crosses the barriers of rituals, relations and social barriers to stand for her beliefs and love. Mahua who is married to an ...       »","Hrishitaa Bhatt,Kamna Singh Chandel,John DeLong,Shekhar Gijare",
3135,Kabab Mein Haddi,Comedy,"This is a story about a London-based guy who wants to marry an Indian girl, but unfortunately he gets caught in a web of income tax raids, cops and two other girls vying for his affection.","Purva Arora,Anil Bhonsle,Leeza Bindra,Aarti Dhariwal",Rabinder Parasher
3136,Paranthe Wali Gali,"Drama, Romance",A romance between a Sikh girl Naina Kaur and a Rajasthan boy Maulik.,"Mohinder Gujral,Yuvraj Haral,Vijayant Kohli,Neha Pawar",Sachin Gupta
3137,Amit Sahni Ki List,"Comedy, Romance","Amit sahani is an investment banker, single and ready to mingle. Mala is a free spirit who takes life as it comes. When Amit meets Mala sparks fly even though Mala is against all odds not ...       »","Vir Das,Vega Tamotia,Anindita Nayar,Kavi Shastri",Ajay Bhuyan
3138,Life Is Beautiful,"Comedy, Romance","Raj works in Toronto and lives with his friend Prem who hates him for invading his tiny apartment. After Raj's application for Canadian residency is rejected, he plots the perfect plan to ...       »","Manoj Amarnani,Nancy Brunetta,Anokhi Dalvi,Parth Naik",Manoj Amarnani
3139,Chauranga,Drama,A fourteen year old Dalit (lower caste) boy in rural India is killed for writing a love letter.,"Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,Soham Maitra",Bikas Ranjan Mishra
3140,City of Dreams,Drama,The story of an aspiring actress who comes to Mumbai to fulfill her desires. But her dreams will have to pay a heavy price as nothing in the film industry is as clear as it seems. In order ...       »,"Kiran Jhangiani,Rushad Rana,Piyush Gupta,Mann K.",Mahesh D. Singh
3141,Unforgettable,"Drama, Romance","The unforgettable battle between first love and soulmate, fought on the battleground of one's heart and mind.","Usha Bachani,Hazel Croney,Pablo Gonzalez,Patrick Haider",Arshad Yusuf Pathan
3142,Identity Card,"Comedy, Drama, Sci-Fi","The story of a journalist from Delhi who happens to go to Kashmir and gets caught by STF forces, how her one day in a specially police cell changes her life. Identity card talks about the ...       »","Tia Bajpai,Furqan Merchant,Raghuvir Yadav,Saurabh Shukla",Rahat Kazmi
3143,Chaarfutiya Chhokare,"Drama, Thriller","An NRI Neha Malini (Soha Ali Khan) returns to India to start a school in Bihar. As she meets three boys who want to join the school, she slowly uncovers a political and criminal nexus which binds them all.","Soha Ali Khan,Zakir Hussain,Seema Biswas,Shankar Mandal",Manish Harishankar
3144,The Untold Story Aahinsa,Drama,,"Robin Chaudhary,Kashvi Kanchan,Vinod pal Singh Raghuwanshi,Anup Shukla",Yusuf ali Khan
3145,The Spirit of Mumbai,"Action, Crime","Ex-Con, Arjun Dutta, just wants his life back, but when Bollywood actress, Rani Deol, is kidnapped from the limo he is driving, he must go all out against impossible odds to save her and restore his name.","Pooja Batra,Eliyas Qureshi,Jerry Lynch,Monika Gaba",John Tillotson
3146,Kolkata Junction,Thriller,"Seventy-eight years ago three men were involved in the murder of General Simson (Inspector General of Prison). Destiny led them to death. In 2014, Once again three destinies intertwined. What will be the end?","Bhoomika Kalita,Sonali Kulkarni,Kay Kay Menon,Sandhya Mridul",Anjan Dutt
3147,Ladies First,Romance,The film explores gender inequality and the need to women empowerment.,"Ruby Ahmed,Khushboo Khan,Gautmi,Marina",Ashok Mehta
3148,Ranthambore,"Adventure, Horror, Thriller",RANTHAMBORE- Where tigers roam free,"Prasenjit Das,Aishmita Meena,Jay Mukunda,Anish Raj Sharma",Paul R. Solomon
3149,Life Mein Twist Hai,Romance,,"Sahil Akhtar,Sahil Akhtar,Govind Mishra,Michelle Shah",Dinesh Soni
3150,Titoo MBA,"Comedy, Romance",A couple on the brink of divorce explain their separate viewpoints and reasons to their respective lawyers.,"Nishant Dahiya,Pragya Jaiswal,Nandini Singh,Aanchal Singh",
3151,Dark Rainbow- Directed by Abhik Bhanu,Romance,,"Mayur Mehta,Sara Khan,Pramod Moutho",Abhik Bhanu
3152,Dil Bhi Khaali Jeb Bhi Khaali,Action,,"Ayesha Jhulka,Kader Khan,Anil Kochar,Arman Kohli",Jagdish Sidana
3153,Babloo Happy Hai,"Comedy, Drama, Romance","Jatin, Harry and Rohan head to Manali for one last trip before Jatin gets married. In Manali, the group of friends meet Natasha and are set forward on a journey of rediscovery.","Sahil Anand,Erica Fernandes,Harish Chhabra,Parvin Dabas",Nila Madhab Panda
3154,Akeli,Romance,,"Perena Agarwal,Nandini Ghosal,Brij Gopal,Aashish Kaul",Vinod Pande
3155,Ebn-e-Batuta,Sci-Fi,"One Day Aliens Landed on Punjab the land of Fun , Masti and Innocence .the villagers are very superstitious They Make Them GOD.","Onkar Das Manikpuri,Rajeev Verma,Dev Gohar,Satya Khare",Varun Middha
3156,Dirty Marriage,Romance,Dirty Marriage is a Hindi film is based on Hot ignorance and confusions.,"Vipul Bhatt,Savi Bishta,Preet Kaur Nayak",Priyanka
3157,Badlapur Boys,Drama,"A story about a bunch of underdogs who not only play Kabaddi passionately, but also get involved in crucial socio-economic issues.","Annu Kapoor,Anupam Maanav,Saranya Mohan,Nishan",Shailesh Verma
3158,Freedom,Thriller,,"Deepak,Payal Ghosh,Ravi Shankar Jaiswal,Salman Yusuff Khan",Vivek Agnihotri
3159,The Lost Salesman of Delhi,"Adventure, Drama, Mystery","Raja, the saree salesman in Chandni chowk, one of the biggest markets in Asia, was leading a peaceful and simple life until the idea of having a home strikes him.","Manoj Bakshi,Radha Bhatt,Preet Bhatti,Sadia Ilyas",Deepak Mahajan
3160,Yeti,Drama,The film follows fragmented journeys of a group of young people in the city of Mumbai. All of them are working on a film in different positions. They keep negotiating with their ...       »,"Anurag Mishra,Yashasvi Mishra,Atmaja Pandey,Pratik Rathod",Abhijit Mazumdar
3161,Kahin Hai Mera Pyar,"Drama, Musical, Romance",A love story which shows a correlation between an imaginary love of a young painter and a story of Adam & Eve known since ages. The story of Adam and Eve is shot very first time in Hindi Language in India with excellent Visual Effects.,"Eesha Agarwal,Gajendra Chauhan,Sanjay Kapoor,Sonia Mann",
3162,CD Kand,"Drama, Horror",,,Imtiaz PatelStar:Sunny Charles
3163,Darr Ke Aage Jeet Hai,Action,,"Shekhar Bhosle,Snehal Dalvi,Gyan Narsinghani",Susheel Gajwani
3164,Sarfaroshi.. A war against System,Action,,"Arun Bakshi,Ayub Khan,Mushtaq Khan,Ganesh Loke",
3165,W,"Crime, Musical, Thriller","W - If Woman is one of the words which comes to your mind, this movie is for you!Open-minded, ambitious Sandhya Singh a.k.a Sandy (Leeza Mangaldas); Traditional, romantic Roohi Malik (...                See full synopsis »","Leeza Mangaldas,Leslie Tripathy,Sonal Giani,Raaj Singh Arora",Tarun Madan Chopra
3166,Little Terrors,Drama,"A 13-year-old American boy is recruited by terrorists to bomb a U.S. embassy in Delhi. After being brainwashed he is sent to live with a Muslim family prior to the attack. However, the man ...       »","Om Puri,Deep Dhillon,Aamrik Arjun,Armaan Kabli",Maninder Chana
3167,Meinu Ek Ladki Chaahiye,"Comedy, Crime, Drama",The movie is a comical social satire portrays a 'Guru' and a 'Shishya' trying to change other's viewpoints and make them walk on the right path.,"Rashee Bindal,Puru Chibber,Reecha Sinha,Raghuvir Yadav",Abhishek Bindal
3168,Peter Gaya Kaam Se,"Action, Crime, Romance",A motorcycle taxi driver gets the ride of his life when he plays tour-guide to a beguiling drug smuggler form London working on 'the Goa run'.,"Rajeev Khandelwal,Prashant Narayanan,Lekha Washington,Saurabh Shukla",John Owen
3169,Strings of Passion,Drama,Three college friends share their recent developments in their respective lives after three years of separation.,"Zeenat Aman,Indrani Haldar,Shubh Mukherjee,Avalok Nagpal",Sanghamitra Chaudhuri
3170,Khwaabb,"Drama, Romance, Sport","Khwaab is a story about the birth of a dream, of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger, ...       »","Simer Motiani,Navdip Singh,Bajrangbali Singh,Rishi Miglani",Zaid Ali Khan
3171,Darkness,Horror,,"Mohsin Bhat,Mohsin Bhatt,Saurabh Chakravarty,Anmol Choudhary",Satyam Raj
3172,Kuch Alag Sa,Drama,Kuch Alag Sa is a film starring Samiksha Bhatt. It is the story of a female who physically and mentally tortures her husband for her greed for money.,,Sanghamitra ChaudhuriStar:Samiksha Bhatt
3173,The Lastbenchers,"Biography, Comedy, Drama",Its a movie about the life of LastBenchers who are failures in their academic life but when it comes to real life they struggles hard to become someone whom world can recognize and judge ...       »,"Pooja Bhattad,Shriya Fule,Sanket Galactus,Dipak Harne",
3174,The Last Don,Crime,Chess champion player becomes ACP and uses his skills for check and mate with crime master.,"Dhwani Gautam,Vikas Gupta,Amit Mishra,Rajiv Pathak",
3175,Anuradha,Drama,,"Hrishitaa Bhatt,Sachin Khedekar,Manoj Joshi,Kishori Shahane",Raju Mavani
3176,Long Dark Road,"Crime, Drama, Thriller","The fate of 4 kids will change forever, in a way they would have never imagined. A chance meeting of strangers trying to forget the past, little do they know, it would come back and haunt ...       »","Atif Rashid,Saurabh Kumar,Anamika Raj,Priyanka Kumari",Moosa Saleem
3177,Kabhi Yuh Bhi Toh Ho,Family,,"Vishwa Bhavsar,Zaraius Contractor,Jyotin Dave,Paritosh Goswami",Paritosh Goswami
3178,Hard to Change the World,Drama,"TOSHI CHAUHAAN with the hope and dream to help the weaker section of the society, whom he think the soul of India. He struggled allot to open an NGO with a dream to help the poor people ...       »","Mantosh Kumar,Mohd Feroz Qureshi,Mahesh Tambe",
3179,The Closed Door,Thriller,"The Closed Door is a 2014 Indian Hindi film, directed by Mayur Kachhadiya and produced by K.S. Mehta (Vakratund Group) and Mayur Kachhadiya.","Pooja Nayak,Rakesh Pujara",Mayur Kachhadiya
3180,Hum Hai Teen Khurafaati,Comedy,"Amidst dreams of making it big in the world of Bollywood, three teen boys are caught between a sexy teacher, a lecherous Principal and the love of their lives. Rohit, Rahul and Raju are ...       »","Muntazir Ahmad,Manoj Bakshi,Sheet Chhabra,Pranshu Kaushal",Sudhish Kumar Sharma
3181,Akela the Alone,Thriller,"A loner, whose parents died years ago, lives all alone doing petty jobs for survival. He meets Nadeem and Dawood and his whole life takes a turn to insanity.","Adil Ahamad,Roman Ajaz,Casim Bilal,Zahur Qadir",Abrar
3182,Munna Mange Memsaab,Comedy,"What's the movie aboutMunna Mange Memsaab is the story of a small village boy (Munna) who is unfriendly, not handsome as well as not intelligent. Despite this his mother would tell him that...       »","Ms. Jordiya Anna,Razak Khan,Onkar Das Manikpuri,Himani Shivpuri",Shareeph Mansuri Saranawala
3183,Little Godfather,Drama,,,Joy Augustine
3184,Main Bhi Chalna Chahti Hoon,"Drama, Family","A story of an 8 year old girl, from a very small village, who dreams to become a model and walk on the ramp. Life is very strange , dream is too far for her, first she needs to walk ...       »","Kkhushi Khanna,Svetlana Mishra",Raj Gupta
3185,Fattack,"Comedy, Drama",,"Namit Das,Diganth,Sidhaant Kapoor,Shyam Lal",Yazad Anklesaria
3186,Subero Ghaam,Drama,,"Balraj Negi,Bijju,Baldev Rana,Ghananand",Naresh Khanna
3187,Love U Crazy Girl,Mystery,"Love U Crazy Girl is a story of a simple college girl whose dream is to achieve money and fame and in a bid to fulfill her desires, gets trapped in nexus of crime.Coming from a poor family,...       »","Nitika Sharma,Aamir,Sachin,Ashwari Dwivedi",Bhabhani Prasad
3188,Dil Ka Sauda,"Action, Crime, Drama",,"Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor,Rakesh Bedi",Lalji B. Yadav
3189,Picture Perfect,Drama,"Vaani, a small town girl, proves that with sheer determination and will power, the world can be at her feet. Watch her life change as she trains with her style mentor.",,
3190,Tuhi Mera Pehla Pyar,"Drama, Romance, Thriller","The Story Is About 3 Friends Rahul, Seema and Salman. Where Rahul's First Love Is Money And Seemas First Love Is Rahul And Salman First Love Is USA. Vicky's First love is Power, Who Is ...       »",,Ather KhanStar:Ather Khan
3191,Free Bird,Family,"""Baanaadi"" means a bird flying in open Sky. Each child is like a bird and hence he/she should stay and learn where his heart belong . Hence this name was kept for the movie. Our well-wishers endorsed the name too.","H.G. Dattatreya,Dhruti N,Rajesh Nataranga,Praphul Vishwakarma",Nagaraja Kote
3192,Bulbule,Comedy,A group of people find it difficult to stand each other than deciding the fate of a young boy.,"Md. Faiz Alam,Amaresh Banerjee,Anubhav Dixit,Nitin Gosain",Jagat Joon
3193,North Bank,Drama,"A sociological thriller depicting the miserable plight of the rural people, ignored by governments. The subject is universal and is inspired by real happenings and events in a village located in the northeastern India.","Mridul Baruah,Pakeeza Begum,Hiranya Das",Manas Saikia
3194,Teri Dilli Meri Dili,Drama,'Teri Dilli Meri Dilli' is a movie based on story of a woman who overcomes the torture post rape. the story inspires all women to encounter the difficulties in their life with strong will. ...       »,"Pushpraj Gunjan,Madhulika Jatolia,Ridhi Jugran,Tarun Kharbanda",Sandeep Kumar Chandola
3195,Mujhe Jeene Do,Family,This is a true story based on killing of an unborn child who becomes the food of street dogs. The incomplete story of a complete love,"Harshit Parashar,Maanvi Bharadwaj",Sahoj Parashar
3196,Supari - The Quest Begins Now,Crime,In a party full of people a gate crasher was murdered. No one saw who did it .Are they all lying to cover up something big? For DSP Nirmal Pandey the quest begins NOW.,"Sabreen Baker,Swetanshu Bora,Mukesh Ghatiya,Mayuresh Nirhali",Aamreeta Gautam
